381538.7	4198721.47
382215.29	4198990.17
382855.77	4199259.66
383500.37	4199532.4
382106.4	4197337.87
382673.61	4197572.53
383340	    4197842
383985.77	4198109.71
383133.13	4202583.52
383426.06	4201128.58
381416.8	4199443.79
381797	    4197994.6
383112.59	4198551.6
382280.72	4196587.51
383547.03	4197165.96
384144.78	4197359.59
383131.44	4196348.24
378297.07	4203825.88
377653.16	4203551.96
380062.51	4203777.84
378368.9	4203033.54
377926.58	4202849.8
377495.63	4202665.15
378995.08	4203328.95
380143.82	4203000.66
379348.36	4202675.7
379752.02	4202830.16
382360.73	4203127.94
379156.1899	4203381.37
379577.3462	4203568.445
380863.3152	4200861.831
381327.7	4201062.11
381523.6144	4201133.85
382198.58	4201409.54
381284.9944	4201854.08
379738.6	4202019.79
381041.42	4202563.59
380623.9444	4201577.68
382559.744	4202387.122
379637.32	4204404.94
380385.24	4202286.73
381917.9039	4202125.058
382176.21	4205482.26
382664.48	4204052.99
380053.58	4205245.66
380923.56	4204952.01
380280.36	4204677.39
378942.38	4204104.08
381522.97	4205206.37
381844.33	4204525.03
382089.2	4203817.84
380527.5856	4205315.194
380971.97	4205376.82
380499.7	4203958.498
381015.9943	4204143.7
381317.7943	4204308.2
381685.4	4204466.18
381685.6943	4204466.18
379307.81	4208029.11
379518.7	4207195.78
380818.1	4203281.18
381439.18	4203538.87
378914.9	4205103.2
377690.34	4204938.22
378016.61	4204543.9
377545.68	4204362.41
376829.56	4204042.59
377326.87	4206325.86
377902.68	4206374.21
378444.74	4206367.7
378972.68	4206391.6
379529.68	4206398.43
376667.74	4204811.72
378352.26	4205037.013
379526.113	4205202.017
379921.64	4207226.42
378901.53	4207977.68
379128.13	4207179.36
377375.07	4206947.84
381663.1043	4202876.12
380262.05	4206416.02
381673.64	4211525.42
381496.3	4210070.78
381906.89	4210034.79
382535.75	4210037.22
379788.5	4209071.7
380582.35	4209134.63
382002.18	4209263.77
382595.13	4209305.3
379505	    4208107
380055	    4208180
380689.36	4208207.92
381286.41	4208281.91
378713.13	4207145.08
380713.28	4207288.94
381041.69	4207289.21
381718.44	4207345.72
379848.9916	4206402.46
380150.0218	4206420
380453.3618	4206418.15
380820.0108	4206436.73
381049.3269	4206435.813
381223.7393	4206445.397
378991.46	4208997.75
377406.91	4209003.74
377129.94	4208578.6
380435.39	4212047.55
380850.72	4211883.41
381260.98	4211703.36
379526.24	4210078.7
380254.21	4210032.56
377380.74	4207688.91
377919.27	4207854.67
378244.85	4207894.52
378558.83	4207937.88
376610.8547	4206870.941
378013.66	4207089.32
375620.2923	4206332.346
376095.6623	4206341.693
376518.82	4206346.44
378660.56	4209272.82
